waypoint1	waypoint2	distance_m	duration_s
p100	p236	916475	0
p204	p62	12913724	0
p25	p63	7544929	0
p94	p388	4994533	0
p107	p108	6662118	0
p267	p121	6928702	0
p19	p57	7295913	0
p358	p389	4516048	0
p231	p165	15447226	0
p83	p42	3583294	0
p33	p82	9261605	0
p9	p16	13495281	0
p186	p383	9034919	0
p352	p62	4594542	0
p55	p335	16010005	0
p18	p90	10198633	0
p306	p395	12324089	0
p375	p41	9717195	0
p83	p323	478785	0
p87	p114	12946688	0
p190	p388	2894577	0
p174	p388	9975725	0
p352	p321	1982218	0
p383	p289	3656848	0
p127	p372	6181686	0
p349	p44	8334963	0
p24	p120	13862200	0
p11	p193	1932061	0
p384	p323	12998343	0
p241	p244	3144498	0
p260	p129	11838848	0
p336	p259	15318216	0
p47	p273	1478007	0
p183	p159	10599853	0
p68	p281	8887619	0
p156	p46	726981	0
p172	p357	133669	0
p20	p356	11239289	0
p352	p379	5509448	0
p341	p244	12519974	0
p321	p320	732211	0
p8	p121	13248478	0
p219	p166	376368	0
p140	p183	9931277	0
p89	p138	5229567	0
p199	p347	486701	0
p187	p336	14314806	0
p203	p16	7960172	0
p106	p115	15421927	0
p112	p392	15449888	0
p284	p380	8903735	0
p149	p389	10038018	0
p154	p205	669041	0
p324	p377	9998108	0
p293	p42	2751759	0
p311	p71	607968	0
p83	p97	3765196	0
p333	p250	11381112	0
p339	p226	7124777	0
p306	p201	3141596	0
p204	p132	2459733	0
p293	p167	8937646	0
p82	p169	11459322	0
p26	p17	4081782	0
p369	p399	8355817	0
p72	p49	13158948	0
p388	p289	13697116	0
p95	p120	9439500	0
p93	p289	13195466	0
p46	p372	6465695	0
p374	p108	9629665	0
p301	p34	6466547	0
p390	p329	5725050	0
p142	p392	11988889	0
p273	p345	7067376	0
p324	p263	10762558	0
p265	p164	2371781	0
p267	p224	4798400	0
p305	p166	3773545	0
p162	p212	15231898	0
p2	p189	13006757	0
p148	p224	10569807	0
p391	p301	4521288	0
p184	p212	14055099	0
p332	p396	15799469	0
p60	p108	15478824	0
p251	p203	3014729	0
p351	p35	13591638	0
p138	p308	13642452	0
p343	p150	3145721	0
p47	p181	4697397	0
p72	p133	8669164	0
p348	p301	12527132	0
p106	p259	10437316	0
p190	p215	9542135	0
p249	p152	14875089	0
p169	p175	2979713	0
p41	p53	9707118	0
p43	p262	9923063	0
p95	p269	11661195	0
p212	p41	7845950	0
p373	p128	11996989	0
p63	p199	15278791	0
p292	p153	11464128	0
p284	p230	12795464	0
p47	p185	4368406	0
p95	p309	4641510	0
p240	p151	15867126	0
p141	p101	2782984	0
p344	p201	4356761	0
p61	p150	3615043	0
p57	p36	8416955	0
p394	p383	12906037	0
p275	p75	10551590	0
p159	p115	5278033	0
p315	p300	9188457	0
p338	p188	10645232	0
p100	p373	4406272	0
p273	p64	7033545	0
p353	p189	13610818	0
p399	p288	3696839	0
p148	p117	12746325	0
p396	p26	3246716	0
p50	p53	1087945	0
p194	p234	3577990	0
p155	p381	10732537	0
p127	p363	16088445	0
p8	p203	4508547	0
p377	p397	11706916	0
p38	p322	2284286	0
p307	p289	12367992	0
p304	p15	298005	0
p338	p153	7932901	0
p9	p215	14547383	0
p358	p381	13133318	0
p44	p383	7676524	0
p206	p99	13066059	0
p189	p300	8291248	0
p264	p88	10396794	0
p305	p217	5002361	0
p207	p390	1045841	0
p363	p139	11767494	0
p351	p222	3080793	0
p233	p35	5395189	0
p99	p273	113591	0
p106	p366	12726996	0
p144	p272	9489921	0
p339	p297	13124511	0
p62	p72	8037855	0
p305	p323	10020710	0
p154	p212	14989872	0
p25	p198	3599926	0
p126	p392	14777365	0
p127	p361	5305789	0
p238	p49	11294284	0
p282	p251	14144819	0
p100	p388	4321756	0
p32	p258	15542794	0
p58	p271	2852658	0
p376	p87	5003859	0
p286	p135	9126259	0
p7	p4	4296029	0
p383	p145	13356778	0
p143	p240	2834155	0
p98	p199	6810401	0
p20	p115	13677767	0
p218	p396	10757765	0
p192	p383	1968341	0
p2	p364	4585366	0
p36	p234	13857428	0
p297	p271	7118830	0
p174	p312	717800	0
p12	p121	13594040	0
p378	p133	3668755	0
p290	p245	371144	0
p101	p245	1366967	0
p248	p269	15548187	0
p385	p273	15260638	0
p232	p397	11588026	0
p374	p268	11533071	0
p316	p292	247293	0
p276	p146	11496360	0
p172	p294	5201734	0
p190	p385	699727	0
p233	p380	8485337	0
p140	p318	14925542	0
p370	p85	5910260	0
p387	p28	1411357	0
p130	p182	11719343	0
p293	p370	7067731	0
p315	p292	1448707	0
p229	p27	14605413	0
p298	p203	12016171	0
p329	p311	11723923	0
p152	p165	3887584	0
p155	p177	7488772	0
p295	p94	4775586	0
p255	p340	10241067	0
p241	p152	6605851	0
p334	p296	10763375	0
p98	p225	15752775	0
p219	p8	14060849	0
p184	p306	5521360	0
p68	p179	16028719	0
p166	p244	3226947	0
p105	p87	14181114	0
p104	p151	7605333	0
p263	p216	13862079	0
p258	p216	10909110	0
p242	p367	13978656	0
p54	p346	14944810	0
p324	p344	4709913	0
p10	p277	7927015	0
p54	p229	11276189	0
p56	p14	6487490	0
p356	p146	13515263	0
p142	p355	1696587	0
p385	p28	12499347	0
p63	p169	12723459	0
p223	p381	2053407	0
p197	p209	9674827	0
p163	p52	2974391	0
p222	p271	10011349	0
p171	p184	8999240	0
p156	p136	6891554	0
p321	p43	701162	0
p112	p195	9726642	0
p320	p366	9946449	0
p11	p313	10589320	0
p124	p258	5842276	0
p152	p35	9819345	0
p154	p209	1721825	0
p399	p335	14515919	0
p113	p120	11111466	0
p126	p365	13801267	0
p310	p301	3335620	0
p151	p102	10283595	0
p93	p65	9331574	0
p19	p80	467056	0
p111	p177	9785415	0
p0	p37	9780210	0
p168	p340	13563960	0
p8	p42	4949175	0
p276	p223	2500236	0
p309	p53	7061294	0
p92	p250	3081693	0
p111	p31	8446070	0
p373	p244	5569206	0
p369	p312	9059145	0
p98	p115	2254473	0
p60	p382	3211184	0
p114	p270	12701670	0
p206	p353	7935342	0
p15	p391	7477445	0
p271	p281	8733854	0
p14	p49	12567659	0
p163	p397	2967524	0
p384	p280	6117882	0
p109	p263	619552	0
p80	p319	8251971	0
p178	p396	3507297	0
p107	p310	14078348	0
p277	p184	8334962	0
p169	p78	3916181	0
p39	p302	11773229	0
p170	p126	13040514	0
p76	p301	14378371	0
p179	p327	13023489	0
p276	p123	7028705	0
p222	p147	6656981	0
p31	p70	9825232	0
p358	p319	15079992	0
p204	p78	5347883	0
p307	p212	10167590	0
p279	p121	6555370	0
p149	p150	11265687	0
p32	p313	13042435	0
p341	p28	8480017	0
p221	p287	4931804	0
p220	p306	2322945	0
p360	p89	787914	0
p31	p164	183119	0
p143	p75	9036106	0
p229	p200	7081944	0
p21	p399	498004	0
p169	p97	2414923	0
p267	p346	14199953	0
p324	p124	7564262	0
p277	p387	8253232	0
p342	p182	11585001	0
p330	p250	15713768	0
p264	p78	9028259	0
p318	p70	34233	0
p299	p21	4535944	0
p185	p343	14595699	0
p199	p227	11485643	0
p211	p362	13656306	0
p375	p234	12120050	0
p223	p78	6052829	0
p124	p144	8183866	0
p170	p372	3021700	0
p231	p203	14583481	0
p77	p140	9812234	0
p47	p109	657550	0
p12	p205	7880205	0
p276	p322	3263423	0
p170	p291	8280994	0
p298	p322	14906356	0
p385	p237	12597576	0
p287	p295	2199179	0
p8	p382	14679162	0
p372	p367	2456694	0
p30	p364	2749051	0
p290	p251	2624569	0
p284	p152	11295297	0
p26	p191	2548483	0
p84	p66	11749831	0
p230	p280	379560	0
p315	p120	6658125	0
p137	p346	9055928	0
p169	p372	681624	0
p290	p347	6385230	0
p126	p133	617792	0
p387	p391	7076012	0
p338	p151	12195152	0
p99	p353	15344222	0
p173	p208	14508880	0
p86	p253	8683826	0
p150	p357	6534695	0
p105	p119	9958901	0
p126	p276	10642203	0
p186	p336	1898927	0
p193	p1	13426146	0
p299	p398	4956481	0
p290	p259	557267	0
p290	p271	6043381	0
p397	p331	2421264	0
p98	p40	35644	0
p131	p356	13409283	0
p215	p294	11504034	0
p72	p253	2805289	0
p156	p224	14192511	0
p295	p196	12488456	0
p143	p289	11479414	0
p231	p43	9251814	0
p391	p78	3162924	0
p348	p296	4407791	0
p207	p310	14929829	0
p137	p37	15502920	0
p125	p128	1874110	0
p189	p85	10590173	0
p126	p368	4573239	0
p155	p208	10348201	0
p362	p303	7619527	0
p157	p166	3668986	0
p378	p344	12238005	0
p221	p35	5314235	0
p108	p103	813450	0
p255	p342	14844300	0
p302	p201	8215681	0
p163	p240	11042584	0
p83	p136	15182456	0
p183	p49	12242967	0
p9	p138	4324198	0
p275	p155	15865655	0
p2	p275	6046947	0
p163	p241	4604083	0
p393	p53	9342728	0
p225	p297	13400161	0
p256	p189	7220549	0
p360	p174	5478649	0
p14	p296	276746	0
p87	p51	12874307	0
p307	p270	5123648	0
p238	p344	2169669	0
p352	p15	16029463	0
p122	p373	5602530	0
p63	p209	15713118	0
p3	p13	1349202	0
p272	p41	5214306	0
p56	p194	8108922	0
p94	p289	9637844	0
p64	p96	6584568	0
p148	p181	843600	0
p224	p189	13674238	0
p144	p278	10956322	0
p240	p174	2308539	0
p286	p128	1335830	0
p243	p338	15496803	0
p50	p216	15019622	0
p248	p174	1981570	0
p255	p235	5131619	0
p90	p118	10478095	0
p90	p319	9901242	0
p316	p250	13151664	0
p130	p258	150118	0
p387	p5	14402352	0
p47	p60	15912068	0
p178	p284	1346098	0
p243	p270	9345083	0
p91	p110	9561933	0
p68	p180	496001	0
p81	p230	11347103	0
p62	p173	9667722	0
p303	p180	5708165	0
p98	p253	282984	0
p160	p318	1254813	0
p11	p123	7965643	0
p308	p151	8590005	0
p192	p280	13257827	0
p332	p152	5784778	0
p113	p336	14795068	0
p241	p188	13761911	0
p299	p57	8285059	0
p27	p231	1763077	0
p25	p366	8899525	0
p198	p268	2230127	0
p223	p364	7529634	0
p149	p129	12612178	0
p349	p66	5595966	0
p387	p161	10975076	0
p167	p328	14747268	0
p33	p26	14813790	0
p377	p353	6097329	0
p242	p28	10773303	0
p74	p79	5221042	0
p349	p116	13215639	0
p15	p4	15566056	0
p259	p300	11950328	0
p18	p149	14856429	0
p27	p308	2864370	0
p185	p264	10880346	0
p324	p51	11017843	0
p378	p252	12070460	0
p73	p86	8066612	0
p306	p160	3085135	0
p89	p177	10279496	0
p6	p235	3551356	0
p299	p174	2005527	0
p286	p66	2152731	0
p46	p6	10954242	0
p174	p235	12090272	0
p170	p281	9471519	0
p92	p383	14990923	0
p242	p122	12716324	0
p390	p262	9011846	0
p33	p22	2025839	0
p18	p54	9715919	0
p317	p288	9692306	0
p161	p282	4804857	0
p298	p330	8495349	0
p397	p328	2809136	0
p54	p185	10851187	0
p61	p148	4588092	0
p243	p293	3678187	0
p362	p398	9266344	0
p88	p323	612314	0
p111	p64	207287	0
p72	p79	10119354	0
p325	p267	7754285	0
p59	p34	3942810	0
p324	p372	1356791	0
p383	p381	9350416	0
p153	p121	6860368	0
p346	p121	2746343	0
p37	p393	8123613	0
p352	p120	5395358	0
p311	p381	6313573	0
p211	p26	6019613	0
p299	p322	501546	0
p250	p79	364776	0
p343	p189	9651864	0
p221	p78	15612436	0
p361	p77	2804181	0
p229	p169	9954682	0
p178	p246	11206704	0
p178	p7	8032275	0
p303	p200	8111567	0
p76	p101	12708160	0
p233	p246	14417395	0
p8	p15	5219749	0
p242	p101	214305	0
p105	p378	11097963	0
p110	p334	362316	0
p149	p20	14347572	0
p29	p334	1150759	0
p187	p73	6035373	0
p306	p190	13356999	0
p317	p354	15655805	0
p50	p367	1672061	0
p187	p191	9986606	0
p245	p102	2254095	0
p156	p162	5334130	0
p376	p397	11224032	0
p394	p321	9926327	0
p56	p13	48499	0
p249	p227	11591361	0
p27	p63	14038913	0
p152	p355	2590878	0
p257	p354	10949875	0
p104	p293	10970446	0
p254	p174	11441095	0
p351	p73	4538567	0
p136	p390	8979530	0
p275	p230	5459772	0
p181	p23	11410831	0
p366	p357	6363552	0
p62	p355	15692295	0
p46	p398	14647358	0
p229	p311	9297638	0
p0	p328	7058482	0
p25	p76	6478023	0
p181	p177	9843209	0
p360	p168	1280336	0
p242	p280	10141487	0
p130	p378	12887169	0
p50	p227	4294129	0
p327	p362	12314632	0
p50	p272	6629287	0
p31	p115	8495438	0
p310	p278	1307009	0
p72	p41	12416143	0
p185	p362	9369914	0
p145	p59	876238	0
p185	p177	7849432	0
p140	p123	7951313	0
p77	p290	14307249	0
p91	p12	2082043	0
p306	p161	8752389	0
p143	p57	5818443	0
p387	p172	14623286	0
p204	p373	5745433	0
p198	p279	243013	0
p243	p132	3345597	0
p42	p131	1514222	0
p358	p300	1860581	0
p30	p202	4439238	0
p207	p239	9225806	0
p282	p263	3693133	0
p45	p188	5874192	0
p218	p111	5332820	0
p44	p224	11837410	0
p314	p328	6169616	0
p106	p142	4379755	0
p60	p266	10690692	0
p173	p71	4106153	0
p92	p326	3573647	0
p28	p269	14452158	0
p62	p194	2340387	0
p358	p132	11896954	0
p249	p371	14365908	0
p332	p30	3988805	0
p205	p274	6500429	0
p238	p200	6560205	0
p105	p323	3925310	0
p358	p355	13437068	0
p360	p71	6032289	0
p210	p204	3828041	0
p171	p102	6508798	0
p228	p262	7194971	0
p372	p329	15633349	0
p255	p6	1072630	0
p0	p39	15179485	0
p287	p306	4923019	0
p204	p346	9508960	0
p232	p119	12897069	0
p15	p23	4100445	0
p330	p155	7785045	0
p377	p271	13139276	0
p351	p259	9228436	0
p213	p357	10111395	0
p156	p345	15957091	0
p61	p36	10522052	0
p376	p73	2137493	0
p112	p74	14675193	0
p126	p135	8463184	0
p0	p374	14009082	0
p169	p190	9668402	0
p188	p103	2305641	0
p103	p164	2450821	0
p215	p103	12643131	0
p77	p282	7013780	0
p343	p249	6349729	0
p113	p80	9629794	0
p2	p4	12284990	0
p306	p317	11761504	0
p386	p396	6878322	0
p342	p123	2769548	0
p275	p176	15987781	0
p343	p305	3594467	0
p145	p247	3371017	0
p284	p383	14858661	0
p291	p152	14632205	0
p110	p186	11177327	0
p268	p129	8103345	0
p99	p183	14091503	0
p106	p208	2605166	0
p218	p119	11766884	0
p157	p117	7463526	0
p387	p281	11376966	0
p136	p235	2388222	0
p378	p281	12227000	0
p285	p138	6356639	0
p323	p313	1815375	0
p224	p272	3750172	0
p398	p217	3506855	0
p255	p253	1055734	0
p24	p324	6635186	0
p291	p171	10141352	0
p197	p183	8900898	0
p392	p40	6576270	0
p59	p166	15314366	0
p192	p77	12089413	0
p222	p354	13895383	0
p14	p16	8793308	0
p11	p64	3703877	0
p179	p323	13325347	0
p307	p34	15821442	0
p86	p288	9637630	0
p47	p152	2482943	0
p89	p26	14902439	0
p349	p188	4859829	0
p377	p96	4437298	0
p192	p336	1941144	0
p170	p110	676698	0
p302	p373	6402504	0
p143	p263	10191824	0
p99	p75	14263882	0
p236	p337	15368631	0
p8	p63	12175680	0
p45	p5	13678934	0
p369	p370	15502369	0
p241	p177	3839677	0
p376	p139	6981	0
p336	p323	10269112	0
p99	p235	8346939	0
p224	p42	368297	0
p298	p301	8209341	0
p148	p363	8530478	0
p338	p67	12501284	0
p237	p153	8372165	0
p385	p312	3743388	0
p198	p175	10104895	0
p355	p308	4016826	0
p228	p125	14212218	0
p240	p380	13392128	0
p62	p153	6194360	0
p12	p236	7827666	0
p8	p92	5034167	0
p259	p108	1010060	0
p264	p216	1643873	0
p43	p78	12944005	0
p162	p385	10905327	0
p328	p133	15025789	0
p340	p122	15408601	0
p376	p294	12431031	0
p88	p13	14901614	0
p231	p16	9718023	0
p34	p151	5270560	0
p358	p374	3112272	0
p302	p319	12977912	0
p31	p78	3219327	0
p105	p294	3979461	0
p129	p103	6219616	0
p264	p324	6176105	0
p394	p262	14571634	0
p315	p258	8874539	0
p10	p230	11760533	0
p342	p330	11297200	0
p160	p236	11104695	0
p383	p344	6678386	0
p210	p84	11386144	0
p219	p285	7990473	0
p189	p281	11609540	0
p327	p145	5184968	0
p254	p198	249827	0
p242	p29	5076960	0
p123	p6	1936423	0
p176	p114	1216998	0
p325	p252	2207188	0
p155	p281	12731253	0
p214	p208	12917385	0
p9	p262	10504581	0
p33	p12	6420032	0
p218	p252	11793128	0
p12	p180	2153776	0
p122	p269	9129803	0
p242	p55	171167	0
p348	p109	3086365	0
p255	p87	12781956	0
p171	p296	12287815	0
p152	p64	9686614	0
p30	p138	5916946	0
p346	p165	14663659	0
p82	p145	1028944	0
p248	p65	10994083	0
p68	p107	14072248	0
p92	p270	1321682	0
p243	p153	10159682	0
p83	p233	13157946	0
p122	p344	6123914	0
p98	p282	12544335	0
p306	p58	12451709	0
p312	p114	13535500	0
p293	p176	5821085	0
p10	p221	6428988	0
p24	p296	14693904	0
p146	p5	915917	0
p222	p150	1781202	0
p324	p174	5333124	0
p158	p23	15556140	0
p235	p234	8520529	0
p265	p132	15925641	0
p92	p237	4876839	0
p162	p327	3762435	0
p55	p257	9915856	0
p232	p308	15972307	0
p324	p208	5244237	0
p174	p216	1499449	0
p338	p181	1156472	0
p275	p301	2929296	0
p123	p393	7529014	0
p93	p75	3300692	0
p240	p372	12561883	0
p178	p242	3195400	0
p123	p289	7058793	0
p83	p223	3649187	0
p294	p278	7887722	0
p179	p304	12476127	0
p82	p15	12630539	0
p27	p384	4843439	0
p178	p38	11537084	0
p392	p194	14708284	0
p43	p214	12551293	0
p243	p0	7213395	0
p243	p123	3236026	0
p310	p16	10332713	0
p219	p273	10276992	0
p99	p207	10200863	0
p68	p274	4281707	0
p155	p373	6651360	0
p386	p132	7444890	0
p75	p94	13415550	0
p39	p364	8478240	0
p126	p318	15137942	0
p318	p84	4808930	0
p205	p13	16054634	0
p65	p261	5366572	0
p395	p119	4271778	0
p193	p238	14985738	0
p76	p268	10462129	0
p126	p259	4518522	0
p137	p150	1329035	0
p225	p345	15458807	0
p276	p26	3166394	0
p394	p118	4177423	0
p239	p114	3135363	0
p377	p17	630197	0
p204	p385	13861755	0
p341	p58	13688582	0
p60	p121	15732206	0
p348	p128	6860405	0
p240	p26	10145761	0
p138	p85	6267548	0
p184	p297	5546303	0
p13	p114	7461206	0
p204	p382	10828533	0
p233	p280	765118	0
p104	p110	12164529	0
p81	p381	8692959	0
p219	p302	11050792	0
p156	p385	10987697	0
p357	p296	9233727	0
p61	p152	5514302	0
p342	p64	5647885	0
p77	p383	12491912	0
p162	p253	700264	0
p140	p265	16088225	0
p387	p50	11592822	0
p118	p9	15794938	0
p215	p49	6485520	0
p63	p261	8700303	0
p293	p327	15381819	0
p364	p103	8067172	0
p11	p6	12909735	0
p11	p194	4554533	0
p346	p262	7974933	0
p109	p131	13857308	0
p350	p93	13675699	0
p137	p100	14312948	0
p314	p144	11315396	0
p360	p106	5403406	0
p204	p253	693693	0
p118	p235	7628058	0
p160	p304	11093306	0
p155	p176	4743539	0
p361	p208	14394647	0
p129	p270	11860799	0
p113	p393	5304673	0
p86	p203	1782072	0
p96	p308	1773867	0
p140	p122	6459749	0
p156	p179	13499626	0
p29	p392	4567364	0
p239	p217	12967854	0
p236	p272	6195428	0
p50	p294	4041162	0
p10	p53	49477	0
p248	p392	3432603	0
p377	p103	154657	0
p255	p165	948992	0
p156	p235	7164952	0
p363	p217	11949944	0
p317	p323	120636	0
p63	p14	13430323	0
p298	p8	5784933	0
p135	p86	565091	0
p266	p274	2606394	0
p189	p235	4811626	0
p203	p364	269007	0
p192	p150	388715	0
p354	p70	2736769	0
p304	p270	1712424	0
p157	p123	6615435	0
p369	p168	8421545	0
p318	p319	456288	0
p359	p63	3114467	0
p232	p123	8852559	0
p370	p120	12504498	0
p26	p292	7050251	0
p264	p33	63485	0
p20	p217	11253228	0
p210	p319	7903554	0
p368	p273	5706905	0
p98	p349	9814987	0
p110	p139	264770	0
p305	p225	7498724	0
p368	p57	13613640	0
p362	p101	6276209	0
p210	p42	5523489	0
p385	p1	13847259	0
p354	p335	5761406	0
p86	p311	15851746	0
p278	p48	1130861	0
p205	p251	15731697	0
p47	p101	14370844	0
p374	p278	9959637	0
p111	p20	10940935	0
p60	p165	1502757	0
p98	p289	9402263	0
p210	p160	14727908	0
p240	p176	2684254	0
p99	p336	9288963	0
p25	p119	11290485	0
p376	p5	690994	0
p185	p306	5702565	0
p173	p197	2725576	0
p118	p150	6715150	0
p331	p300	6869357	0
p138	p133	6727293	0
p124	p109	8688979	0
p99	p236	14727053	0
p376	p168	10576622	0
p20	p278	3543079	0
p350	p395	3284531	0
p143	p147	12639754	0
p178	p113	1128918	0
p10	p195	12273627	0
p349	p121	15692182	0
p171	p336	4956941	0
p213	p108	4563823	0
p127	p202	5089011	0
p259	p51	7369039	0
p9	p130	10095864	0
p136	p381	10099971	0
p112	p287	2612211	0
p331	p250	12404079	0
p168	p322	12963241	0
p141	p186	6687612	0
p264	p249	9026105	0
p74	p205	4825903	0
p65	p225	1745687	0
p98	p103	15228756	0
p113	p204	816758	0
p129	p296	2870003	0
p299	p386	13989790	0
p51	p309	15750997	0
p324	p50	1387297	0
p280	p150	7510695	0
p355	p226	7173281	0
p47	p388	12937641	0
p358	p167	966670	0
p387	p377	14344425	0
p291	p175	8848452	0
p377	p262	13672692	0
p126	p157	4352666	0
p135	p92	10202606	0
p394	p50	10311534	0
p76	p266	13997969	0
p23	p182	3594796	0
p314	p169	5164369	0
p92	p355	2398629	0
p45	p316	4326243	0
p32	p104	3708974	0
p229	p304	4935792	0
p203	p373	5671219	0
p174	p378	15817035	0
p384	p200	11890035	0
p304	p399	1655993	0
p376	p44	5833003	0
p9	p31	4382311	0
p18	p193	8753101	0
p90	p323	13910475	0
p185	p195	1540273	0
p47	p316	3065715	0
p119	p57	1765361	0
p163	p278	6466558	0
p384	p103	7690533	0
p155	p101	3292551	0
p25	p321	11944542	0
p259	p34	2660111	0
p107	p194	12721848	0
p331	p181	864159	0
p290	p341	331354	0
p105	p170	8288821	0
p78	p216	2183023	0
p372	p208	4208765	0
p344	p79	224157	0
p101	p64	14812608	0
p82	p80	7719060	0
p205	p65	6291767	0
p212	p133	15199974	0
p25	p60	4244205	0
p311	p97	14155147	0
p242	p53	1655924	0
p82	p261	5425712	0
p30	p31	4597222	0
p1	p311	1834140	0
p338	p197	5743182	0
p309	p34	9327074	0
p138	p20	5184164	0
p236	p235	11071862	0
p317	p144	13788241	0
p170	p269	3334374	0
p210	p281	672230	0
p43	p175	8890195	0
p134	p97	527262	0
p374	p234	8686357	0
p282	p41	2575656	0
p259	p227	13895534	0
p96	p335	9005788	0
p10	p384	7023436	0
p129	p41	16024866	0
p352	p270	7729448	0
p261	p262	11913597	0
p351	p107	550162	0
p170	p391	6297324	0
p56	p364	7179154	0
p248	p327	2751822	0
p47	p300	11985510	0
p77	p75	14732442	0
p203	p288	3821410	0
p170	p43	9502852	0
p219	p19	11477645	0
p230	p283	1776861	0
p387	p348	11631598	0
p324	p95	11732395	0
p233	p225	228400	0
p219	p161	7514106	0
p210	p114	9423457	0
p136	p335	2959896	0
p160	p273	3602070	0
p363	p353	7886890	0
p155	p182	13517188	0
p230	p267	5597143	0
p338	p174	7112287	0
p162	p287	12289298	0
p214	p147	1367760	0
p59	p278	12694704	0
p12	p4	9264166	0
p199	p73	9908833	0
p1	p267	5554182	0
p105	p17	12832909	0
p77	p124	6367839	0
p332	p364	5436681	0
p387	p383	546750	0
p21	p322	11045291	0
p244	p133	5206612	0
p51	p226	4832520	0
p396	p114	9204625	0
p279	p209	12239796	0
p241	p355	7646452	0
p28	p378	6263571	0
p242	p250	11935993	0
p219	p104	14720487	0
p154	p322	12053373	0
p359	p49	9672931	0
p130	p7	11158952	0
p232	p13	9297337	0
p243	p252	12453698	0
p299	p139	2672306	0
p33	p177	7954950	0
p204	p202	7516805	0
p146	p53	8488047	0
p166	p380	4280545	0
p54	p95	3718703	0
p33	p5	11077687	0
p30	p363	9509220	0
p157	p194	13451173	0
p295	p177	12862069	0
p100	p166	14261199	0
p183	p335	9239558	0
